Timestamp,Episode,Duration,Reward,Reason
22:46:53,1,358.20,-11189.7,Success
22:47:01,1,370.55,-11719.42,Success
22:47:03,1,375.37,-10665.31,Success
22:47:04,1,376.91,-11161.51,Success
22:47:13,1,389.16,-10856.41,Success
22:47:14,1,390.78,-11054.33,Success
22:47:18,1,397.42,-11662.28,Success
22:47:24,1,406.10,-11393.96,Success
22:47:31,1,416.21,-12142.3,Success
22:47:33,1,418.99,-12675.44,Success
22:47:38,1,427.74,-12988.28,Success
22:47:43,1,434.82,-12555.39,Success
22:47:49,1,436.50,-13263.51,Success
22:47:51,1,438.94,-12437.55,Success
22:47:51,1,439.92,-12833.68,Success
22:47:52,1,440.72,-12451.37,Success
22:47:55,1,445.11,-14668.03,Success
22:48:11,1,465.46,-12714.97,Success
22:48:16,1,473.18,-13832.66,Success
22:48:20,1,478.86,-15651.41,Success
22:48:20,1,479.18,-16313.39,Success
22:48:21,1,479.75,-15783.78,Success
22:48:21,1,480.17,-13552.26,Success
22:49:40,2,206.83,-2139.929,Success
22:49:42,2,229.57,-2502.898,Success
22:50:09,1,324.66,-7271.944,Success
22:50:15,2,247.58,-2797.59,Success
22:50:17,2,231.65,-2429.363,Success
22:50:22,2,297.54,-3497.352,Success
22:50:27,2,256.12,-2786.495,Success
22:50:33,2,281.60,-2830.492,Success
22:50:39,2,254.36,-2385.692,Success
22:50:40,2,307.19,-3428.521,Success
22:50:53,1,375.79,-7713.798,Success
22:50:55,2,261.45,-2577.154,Success
22:50:55,2,282.80,-2952.319,Success
22:50:57,2,263.57,-2349.291,Success
22:51:02,2,335.73,-4058.385,Success
22:51:03,2,240.71,-2288.791,Success
22:51:04,2,235.83,-2201.342,Success
22:51:05,2,282.28,-3141.003,Success
22:51:17,2,301.07,-2439.631,Success
22:51:30,2,312.83,-2482.823,Success
22:51:52,2,346.55,-2701.011,Success
22:52:05,2,328.90,-2224.267,Success
22:52:10,3,216.09,-1331.705,Success
22:52:53,2,414.79,-3887.286,Success
22:53:02,2,415.91,-3186.293,Success
22:53:10,3,192.08,-895.4757,Success
22:54:02,3,247.52,-1242.76,Success
22:54:14,2,524.45,-3499.853,Success
22:54:20,3,302.53,-1428.126,Success
22:54:55,3,364.48,-2022.782,Success
22:54:56,4,51.28,-242.9144,WallCollision
22:55:16,3,428.36,-2558.619,Success
22:55:27,3,471.10,-2620.213,Success
22:55:43,4,229.39,-1185.153,WallCollision
22:55:45,3,490.93,-2374.324,Success
22:55:50,4,82.58,-302.281,WallCollision
22:55:53,2,261.87,-1031.025,Success
22:55:53,3,496.57,-2623.722,Success
22:56:01,3,482.25,-2354.391,Success
22:56:03,4,29.80,-188.5137,WallCollision
22:56:10,4,65.04,-287.0886,WallCollision
22:56:12,3,479.71,-2412.513,Success
22:56:20,3,479.30,-2241.032,Success
22:56:20,3,534.20,-2856.294,Success
22:56:21,3,600.00,-3861.302,Timeout
22:56:29,3,490.81,-2530.194,Success
22:56:31,5,60.52,-190.6055,WallCollision
22:56:31,4,390.12,-2095.574,WallCollision
22:56:33,3,452.95,-2747.271,WallCollision
22:56:36,4,11.22,-167.0881,WallCollision
22:56:38,3,537.62,-2702.452,Success
22:56:42,4,42.92,-186.4032,WallCollision
22:56:42,4,15.72,-138.2174,WallCollision
22:56:45,4,131.63,-516.0844,WallCollision
22:56:45,5,62.66,-186.6913,WallCollision
22:56:48,6,28.18,-148.5659,WallCollision
22:56:51,5,24.68,-150.4955,WallCollision
22:56:51,5,15.46,-178.9162,WallCollision
22:56:52,3,239.15,-976.5871,WallCollision
22:56:53,4,46.36,-178.1436,WallCollision
22:56:53,5,13.52,-134.2095,WallCollision
22:56:53,5,108.91,-355.7441,WallCollision
22:56:56,6,18.56,-152.7186,WallCollision
22:56:57,3,50.16,-175.8174,WallCollision
22:56:57,5,69.34,-285.8453,WallCollision
22:56:57,5,42.78,-146.6984,WallCollision
22:57:01,4,60.62,-198.6314,WallCollision
22:57:02,6,14.04,-157.4632,WallCollision
22:57:02,4,39.00,-136.0567,WallCollision
22:57:04,5,194.98,-879.9922,WallCollision
22:57:04,6,10.62,-117.0042,WallCollision
22:57:05,3,477.36,-2400.425,WallCollision
22:57:07,4,23.94,-158.2098,WallCollision
22:57:08,6,22.74,-116.9798,WallCollision
22:57:09,6,27.54,-128.3143,WallCollision
22:57:12,6,34.04,-139.328,WallCollision
22:57:12,5,48.42,-214.7789,WallCollision
22:57:14,7,41.40,-171.3252,WallCollision
22:57:14,5,20.58,-186.8524,WallCollision
22:57:14,4,82.76,-291.1328,WallCollision
22:57:15,5,13.14,-146.8193,WallCollision
22:57:16,5,37.92,-232.2894,WallCollision
22:57:28,4,143.01,-564.6362,WallCollision
22:57:30,6,48.20,-236.9483,WallCollision
22:57:31,7,29.52,-151.3069,WallCollision
22:57:31,7,40.36,-203.993,WallCollision
22:57:31,6,38.08,-146.8594,WallCollision
22:57:32,3,600.00,-3320.854,Timeout
22:57:33,7,52.72,-145.7518,WallCollision
22:57:33,5,46.48,-195.0532,WallCollision
22:57:33,7,29.00,-151.4952,WallCollision
22:57:34,7,43.04,-198.6563,WallCollision
22:57:34,6,24.26,-160.7464,WallCollision
22:57:36,6,32.16,-184.8691,WallCollision
22:57:36,4,43.14,-156.7262,WallCollision
22:57:37,4,144.61,-260.0144,Success
22:57:38,5,15.34,-143.809,WallCollision
22:57:39,8,14.46,-154.0174,WallCollision
22:57:42,8,39.10,-144.2595,WallCollision
22:57:42,3,438.14,-2314.89,WallCollision
22:57:43,3,425.14,-2258.789,WallCollision
22:57:44,4,335.35,-1626.076,WallCollision
22:57:44,6,42.26,-147.1963,WallCollision
22:57:45,6,41.04,-160.7439,WallCollision
22:57:46,5,15.20,-154.3406,WallCollision
22:57:46,4,23.20,-178.7846,WallCollision
